cart_dose,sp_value,response,t9,t12,t15,t18,t21,t_final_30
0.01,0.1,PR,159.8762,160.49,121.9447,92.44238,70.18708,30.8742
0.01,0.11012,NR,161.8093,272.5478,244.9737,187.1574,142.1218,62.236
0.01,0.12024,NR,161.61469,291.95074,517.02395,884.81678,1433.6666,3657.9403
0.01,0.13036,NR,161.38928,291.46977,516.11388,883.16783,1430.9425,3653.8964
0.01,0.14048,NR,161.15627,290.91381,514.94254,880.93527,1427.2251,3648.4977
0.01,0.1506,NR,160.91925,290.32819,513.67815,878.50772,1423.1855,3642.6623
0.01,0.16071,NR,160.67878,289.72533,512.36672,875.98305,1418.9873,3636.5922
0.01,0.17083,NR,160.4367,289.1131,511.02677,873.40142,1414.6939,3630.3801
0.01,0.18095,NR,160.19317,288.49423,509.67106,870.78533,1410.3408,3624.0381
0.01,0.19107,NR,159.9495,287.87259,508.30401,868.14664,1405.9466,3617.6169
0.01,0.20119,NR,159.7051,287.24815,506.93052,865.4931,1401.5254,3611.1206
0.01,0.21131,NR,159.46053,286.62248,505.55326,862.82995,1397.0837,3604.5562
0.01,0.22143,NR,159.21605,285.99662,504.17443,860.16167,1392.6284,3597.9268
0.01,0.23155,NR,158.97186,285.37142,502.79613,857.49227,1388.1658,3591.2441
0.01,0.24167,NR,158.72768,284.74677,501.41876,854.8231,1383.6984,3584.51
0.01,0.25179,NR,158.48388,284.1238,500.04476,852.15878,1379.2332,3577.7313
0.01,0.2619,NR,158.24061,283.50313,498.67544,849.50211,1374.7743,3570.9121
0.01,0.27202,NR,157.99724,282.88452,497.31194,846.85581,1370.3273,3564.0618
0.01,0.28214,NR,157.75412,282.26841,495.95699,844.22434,1365.8989,3557.1862
0.01,0.29226,NR,157.51078,281.65505,494.61047,841.61055,1361.4936,3550.29
0.01,0.30238,NR,157.26667,281.04316,493.2736,839.01585,1357.1158,3543.3877
0.01,0.3125,NR,157.02182,280.43086,491.93661,836.42526,1352.7406,3536.4276
0.01,0.32262,NR,156.77635,279.81592,490.59959,833.83732,1348.3627,3529.4189
0.01,0.33274,NR,156.52871,279.19327,489.246,831.21189,1343.9166,3522.2755
0.01,0.34286,NR,156.27836,278.55983,487.86056,828.51761,1339.3537,3514.9389
0.01,0.35298,NR,156.02525,277.91484,486.44343,825.75755,1334.6843,3507.4327
0.01,0.3631,NR,155.77038,277.26151,485.00271,822.95164,1329.9403,3499.7815
0.01,0.37321,NR,155.51499,276.60392,483.54883,820.12056,1325.1515,3492.0273
0.01,0.38333,NR,155.25927,275.9431,482.08559,817.27114,1320.3295,3484.1741
0.01,0.39345,NR,155.00299,275.28016,480.61662,814.40879,1315.4823,3476.2455
0.01,0.40357,NR,154.74624,274.61448,479.14226,811.53502,1310.6124,3468.2138
0.01,0.41369,NR,154.48907,273.94788,477.66354,808.65302,1305.723,3460.1123
0.01,0.42381,NR,154.23163,273.27953,476.18247,805.76351,1300.8173,3451.9236
0.01,0.43393,NR,153.97409,272.61027,474.69774,802.86703,1295.8942,3443.6574
