r1,r2,K1
0.19588311,0.235442417,4672.091353
0.153419786,0.265687608,5266.266235
0.185625782,0.197194183,1570.232796
0.178245078,0.165988309,7380.818899
0.216033656,0.219573184,3801.884706
0.170611354,0.235659422,1387.761346
0.21506488,0.158787965,2265.901395
0.198688884,0.16375301,2668.059972
0.201448219,0.223314345,3152.105475
0.209175896,0.230164929,2651.657201
0.167067242,0.191288034,5917.074293
0.204725531,0.167552227,1213.50362
0.203379435,0.24855187,4407.304051
0.172649323,0.177786061,2878.308579
0.215423988,0.195352662,3956.127413
0.142424713,0.265949972,7455.693876
0.178771727,0.214318075,5234.967907
0.173470344,0.151515088,2472.600065
0.197557561,0.198596916,6142.053593
0.20512378,0.142646594,2346.83412
0.210562402,0.266212981,2681.3943
0.201564321,0.141658094,1009.48658
0.19861176,0.210160997,5699.844369
0.179803686,0.210120796,5265.244342
0.160846287,0.250796185,4147.483744
0.19023213,0.270875763,1871.454255
0.146857433,0.259824276,6594.72493
0.210152047,0.161700925,4814.667894
0.180714846,0.22795671,2221.952624
0.203889207,0.153573944,1149.681724
0.235114971,0.185305407,1834.470559
0.185665864,0.23030715,4978.486888
0.15090099,0.250976435,7834.61249
0.220886071,0.193227201,1680.527367
0.161998052,0.242764461,3678.354523
0.193925361,0.269516179,2742.061367
0.176794662,0.250379149,4413.471456
0.162199141,0.249035674,1817.300969
0.190231691,0.267360931,5394.133547
0.185966833,0.27025404,5129.725687
0.165653502,0.179115533,7099.350534
0.188138597,0.191958262,6221.63093
0.188258839,0.161231111,5175.011562
0.176326877,0.199167151,2276.310547
0.160454717,0.21789696,6751.126868
0.157345805,0.219136625,5221.104087
0.183423976,0.267210571,3300.9576
0.192237833,0.263964709,5102.802545
0.198489492,0.202255413,2092.72093
0.20270574,0.156604448,7188.106062
0.174064992,0.223503273,6284.839719
0.184601092,0.258763557,7748.022105
0.173121392,0.213670473,5045.104679
0.218076386,0.178513287,2219.243439
0.167973918,0.245469496,5436.595812
0.171769659,0.210199414,4290.021545
0.18956455,0.23312512,1820.856363
0.185983224,0.266261863,3897.902145
0.194646616,0.226534153,4522.762982
0.181589945,0.16970059,7936.427795
0.168216964,0.252889374,5653.168077
0.148789938,0.234823695,8096.804008
0.170072048,0.175159379,4346.396768
0.178903691,0.253660572,7379.853434
0.178710317,0.146343464,3034.232264
0.160526329,0.181653427,6711.835255
0.164309614,0.215093916,5997.156242
0.16676866,0.210357106,7828.444818
0.168469457,0.256379482,8331.973901
0.189025031,0.206727465,3068.830595
0.14817359,0.274842744,8427.717802
0.162379029,0.184722555,6934.429343
0.197893857,0.267371442,1502.898647
0.207806686,0.156891145,2277.277965
0.174110845,0.231194349,4117.377247
0.185641067,0.200409397,2528.099675
0.209363137,0.142578448,4623.733905
0.202413052,0.142423244,2610.323438
0.164218152,0.158432296,7204.434454
0.195074227,0.258279403,1574.526052
0.178414996,0.21202913,2235.857323
0.172303031,0.156629879,6544.563851
0.17361405,0.229971247,6425.484833
0.181021039,0.148634095,7426.582947
0.181292588,0.21819049,1585.613397
0.197318176,0.168166848,4794.194295
0.183939071,0.266429824,5840.980189
0.162087252,0.201691475,3653.182873
0.186018761,0.180302471,2933.74376
0.19469701,0.25691312,5784.599721
0.15614956,0.233241746,6071.401258
0.176510802,0.201704837,2636.708227
0.172283842,0.198232441,4150.742525
0.157332274,0.270377104,6230.059375
0.171624887,0.142777348,8701.169702
0.228585716,0.272552296,1799.734441
0.172664397,0.183667204,4324.720936
0.150967764,0.278475764,4686.913362
0.169046382,0.259405793,2611.19725
0.191387529,0.234303646,6579.722247
0.192341171,0.266356986,2393.37452
0.205345894,0.177198827,6090.835284
0.146609608,0.259511222,6220.957356
0.158253396,0.270964123,1342.605567
0.170900011,0.255299531,8951.679449
0.180942994,0.270543356,3391.791049
0.151497868,0.278112133,2458.519749
0.178633077,0.270124534,5159.0838
0.189423007,0.273640579,4098.071147
0.175061859,0.165251427,4485.775073
0.185616686,0.228489932,4594.566914
0.1825363,0.216501094,8406.380444
0.167461826,0.218277101,5793.485129
0.201567354,0.222050228,7887.46157
0.2065473,0.245281852,5624.288631
0.198450882,0.241782026,2931.889465
0.179300872,0.258353431,2308.105918
0.205804449,0.225892852,2711.592506
0.160099566,0.259570808,5571.443646
0.2038495,0.203264728,5888.773834
0.180002692,0.202258875,7701.218441
0.193183998,0.203420901,3767.597789
0.194119967,0.141978998,3404.680193
0.189206582,0.168751558,1900.188458
0.178788167,0.276654923,2088.202125
0.205523337,0.1645017,5259.94693
0.180056595,0.267515061,4555.605239
0.176530605,0.17774402,7464.262582
0.182597981,0.239262618,2458.218235
0.218177826,0.178100433,3387.332466
0.19915263,0.193282339,3902.427622
0.182231393,0.233482386,2481.048876
0.197878979,0.235638316,1056.056765
0.174455725,0.233649317,7876.257606
0.17188698,0.2376406,3110.25119
0.166912536,0.175389479,3703.034476
0.1832251,0.174012696,2484.918501
0.170015936,0.152415139,6418.784474
0.195356803,0.238447226,2192.153369
0.15503809,0.269591345,5345.110381
0.17179814,0.196347734,1711.95068
0.164689169,0.162225598,3867.134976
0.143774208,0.275745885,8814.827447
0.178762517,0.219178643,2601.868482
0.152294331,0.221905392,4795.679323
0.170740274,0.187738156,2255.084518
0.185744508,0.279185124,3549.974988
0.233128438,0.235356304,1380.081689
0.170129293,0.16504012,3101.601526
0.156174594,0.243095546,4331.265813
0.204131851,0.217763771,3148.101609
0.199960662,0.145547677,5075.936877
0.184695176,0.218001687,3175.323451
0.19998335,0.239236778,2211.381274
0.141375895,0.27529679,4501.653668
0.187343975,0.236360183,4508.446958
0.200301037,0.159655663,4403.608894
0.164269986,0.253783171,3905.773917
0.175287112,0.140694547,5605.20879
0.197371744,0.259225562,1681.210614
0.165152665,0.247717874,7258.740137
0.171390359,0.177631775,5561.120547
0.177842647,0.268256649,6067.745857
0.147142522,0.264095902,7085.75616
0.166154295,0.247037915,5228.919559
0.189958366,0.225106527,1340.991929
0.150216735,0.244673951,3106.273633
0.194050906,0.240976584,5845.925871
0.151833709,0.26620443,1899.214891
0.207629855,0.173376093,2248.188597
0.19008832,0.20277984,7978.703766
0.19132275,0.251814664,4955.023171
0.171031118,0.184737539,5550.246521
0.157526266,0.25734839,7786.356462
0.170746283,0.179786888,4007.87536
0.19182284,0.219851571,8006.020274
0.176510911,0.227349554,7885.285074
0.203986542,0.163739751,1725.138742
0.196623691,0.173508532,4422.322384
0.158351968,0.263124432,3247.593411
0.183703714,0.23679288,3142.225491
0.198533485,0.173094678,7119.804814
0.168914304,0.226209711,7595.32484
0.206203073,0.203265397,1907.193837
0.183760069,0.171806249,7321.578513
0.193315039,0.206276276,7325.348158
0.17081435,0.256030326,7209.745387
0.172810217,0.172838689,5834.954004
0.183257129,0.2110926,6190.280756
0.174890924,0.217087848,5421.31515
0.182166253,0.220190586,2550.1324
0.196525092,0.268674423,2366.424837
0.201134676,0.221585945,2718.205918
0.154687749,0.243771555,7703.200944
0.20061698,0.213700115,8388.947997
0.150574819,0.251777416,4430.191839
0.146884804,0.241815372,5207.764304
0.200139927,0.161894111,8824.344549
0.161335489,0.147217091,8678.644479
0.213662358,0.230196232,2815.382358
0.201039848,0.2018635,1990.359352
0.192260459,0.160725431,7655.067443
0.166412543,0.226511625,2667.853326
0.170921885,0.243710402,7209.107674
0.175309964,0.193011496,1987.656348
0.158696617,0.269732436,3680.140767
0.176562858,0.142253057,7727.944039
0.176818319,0.256189856,6521.09614
0.160934953,0.17848404,8247.294075
0.192886706,0.205044574,2656.155344
0.149141952,0.278818604,1881.010537
0.211860002,0.211941335,3098.804245
0.189145126,0.254541366,1879.546568
0.202003589,0.243244522,2095.732484
0.185591174,0.272728169,2153.742884
0.171087461,0.189147449,6546.025768
0.197333134,0.233502523,6037.256735
0.20148201,0.236505654,5826.286227
0.196294405,0.246788268,7151.278264
0.192876473,0.273202922,1719.31001
0.174016524,0.156557577,1907.887107
0.175047059,0.275605381,1069.114687
0.19943337,0.260487757,2607.114306
0.162026162,0.253424909,2648.377038
0.199441152,0.178400701,4985.558933
0.169939031,0.14254568,4828.120763
0.193615288,0.211856547,4444.956697
0.1898699,0.279812882,1920.341769
0.18488872,0.240601446,8383.101036
0.158168889,0.205042706,5448.099419
0.197466225,0.207445464,1579.134498
0.196718035,0.202595255,6030.900695
0.185365933,0.183503331,3997.961118
0.197677378,0.174187666,7192.43069
0.185266312,0.271635867,1543.249787
0.1685496,0.219047899,2248.29777
0.173804749,0.15738031,4590.396194
0.163897941,0.219382001,1837.54393
0.195347566,0.177758998,7991.170555
0.143043402,0.273157478,5482.45383
0.20355196,0.211631882,6382.091243
0.183048528,0.183193794,1180.30086
0.183641306,0.239859038,3574.367741
0.1781824,0.202245817,6301.411519
0.167214763,0.248424364,7758.64117
0.200571737,0.219528969,3239.01559
0.182406296,0.196759495,3537.661829
0.190331048,0.205237953,2797.143396
0.210591992,0.144015313,1170.292477
0.149134243,0.242777349,6904.906724
0.173088278,0.172400613,4587.518243
0.163107385,0.234950526,7736.582233
0.167364897,0.175004774,5653.345079
0.204485692,0.248062932,3593.704587
0.17307665,0.258701398,2819.007923
0.159702946,0.234747123,3843.530969
0.17091714,0.200434469,1806.303723
0.152432451,0.231552123,4132.300002
0.226532515,0.20205458,2376.055615
0.166941959,0.153499008,3341.097098
0.167614982,0.254382642,1458.035379
0.217021692,0.197809737,2066.011133
0.165287465,0.152134947,3466.485476
0.214848866,0.278806521,1717.009372
0.159307852,0.229064885,7398.581928
0.200551724,0.261331497,4746.546062
0.172637398,0.178664233,7492.399297
0.220020071,0.233237422,2784.900675
0.181730815,0.277393709,3234.453555
0.190563127,0.157892603,4367.489778
0.16883458,0.212811554,3939.885675
0.158222909,0.271778749,2723.197968
0.184087695,0.23296347,3735.12513
0.179421242,0.238978705,2479.921586
0.179400699,0.171834772,3742.985511
0.187267143,0.229152709,8486.035184
0.203600064,0.150072492,1077.546764
0.225481669,0.179418948,1645.562342
0.193507976,0.143648904,6604.280871
0.238794025,0.271988581,1488.679955
0.183321608,0.194357854,1060.366376
0.177542806,0.158496466,2303.389258
0.147341152,0.26011765,8391.766823
0.179771315,0.247591846,3995.269863
0.188959346,0.237662952,8744.763577
0.221421382,0.231178365,2871.29431
0.190318444,0.209510478,5844.376004
0.199969946,0.221650931,4483.431319
0.195115174,0.213311504,1159.313264
0.199313347,0.182293592,2590.270462
0.207570223,0.196354192,3355.676049
0.189773579,0.154469081,8322.95594
0.189610844,0.260470014,6121.135616
0.178115581,0.207415182,7204.923516
0.14512861,0.268985676,7767.653842
0.186274961,0.185582531,1179.201086
0.19376561,0.152588181,4861.953163
0.163489375,0.190871489,6620.24151
0.178748399,0.278007374,1539.167268
0.19622375,0.218103492,4126.321867
0.153824023,0.278714622,2388.211421
0.184631601,0.177150067,3499.616868
0.203419565,0.186017233,2093.95828
0.184296127,0.232654065,3823.971005
0.17342198,0.170709447,8777.406679
0.178842875,0.189269858,6097.62284
0.222359779,0.14612008,1094.294231
0.187797548,0.159218138,6985.447271
0.196837419,0.175021526,7175.235092
0.170043474,0.193232258,6460.929459
0.188845172,0.221313787,2222.710409
0.207439402,0.229260014,2178.578538
0.18160529,0.225334265,5563.113762
0.16783074,0.143849143,7592.485721
0.15546406,0.227036657,6635.644849
0.176048182,0.225587207,6173.328973
0.197783809,0.155536692,2373.648876
0.187083905,0.255752906,6892.510808
0.222491994,0.208965588,1290.840611
0.161745503,0.211757359,8548.684
0.173523198,0.171669113,2309.530134
0.141252904,0.269070961,5879.637817
0.159699479,0.217836348,3626.75165
0.238610151,0.180923459,1651.721049
0.184797852,0.26615064,1144.611574
0.169742705,0.154742758,6033.33494
0.175780793,0.145472358,7067.601481
0.182626281,0.184969237,3184.11891
0.160301877,0.197313805,4290.470367
0.176216184,0.244255147,8740.078105
0.229455897,0.24311145,1059.515837
0.187423371,0.14084089,5466.278839
0.191665362,0.257223554,3821.455495
0.173006647,0.211650356,5592.056629
0.227662962,0.149471233,1518.478973
0.156884028,0.24098791,5480.503011
0.17472692,0.239994031,8387.50796
0.155681618,0.265732143,4485.7113
0.155789277,0.26857261,8688.678509
0.180651377,0.171707651,4840.101281
0.211371106,0.191157782,4667.702625
0.1957284,0.221243844,6787.306321
0.213268864,0.2161462,2846.934189
0.184052634,0.264492075,5191.172855
0.160571726,0.194933257,6375.31578
0.209557611,0.210379563,1592.380017
0.200149935,0.236424076,4628.617185
0.192416158,0.158834964,4946.677948
0.204870418,0.144839963,2975.754139
0.18680038,0.162641629,2421.4097
0.192943909,0.172852137,6257.898404
0.185944813,0.193437039,6726.93937
0.178227529,0.192249833,3575.95062
0.215875233,0.190451239,2804.46089
0.196886151,0.189807487,7682.167999
0.198457443,0.202100404,1255.685535
